Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
07/12/16 12:00 PM	18.8	0.033	0.029	0.088	0.087
07/12/16 04:00 PM	24.7	0.047	0.036	0.088	0.087
07/12/16 08:00 PM	18.5	0.042	0.034	0.091	0.089
07/13/16 12:00 AM	12.3	0.035	0.032	0.092	0.089
07/13/16 04:00 AM	7.9	0.032	0.031	0.092	0.089
07/13/16 08:00 AM	7.8	0.029	0.029	0.091	0.089
07/13/16 12:00 PM	19.9	0.035	0.030	0.089	0.088
07/13/16 04:00 PM	25.4	0.047	0.036	0.089	0.087
07/13/16 08:00 PM	25.8	0.046	0.035	0.092	0.089
07/14/16 12:00 AM	14.2	0.036	0.031	0.094	0.090
07/14/16 04:00 AM	9.0	0.031	0.029	0.094	0.090
07/14/16 08:00 AM	10.3	0.028	0.027	0.094	0.089
07/14/16 12:00 PM	24.5	0.035	0.028	0.091	0.089
07/14/16 04:00 PM	29.9	0.045	0.033	0.090	0.089
07/14/16 08:00 PM	30.5	0.043	0.031	0.093	0.090
07/15/16 12:00 AM	16.0	0.032	0.024	0.096	0.092
07/15/16 04:00 AM	10.8	0.026	0.021	0.096	0.092
07/15/16 08:00 AM	11.5	0.023	0.019	0.094	0.091
07/15/16 12:00 PM	26.2	0.029	0.023	0.093	0.090
07/15/16 04:00 PM	32.3	0.038	0.028	0.092	0.090
07/15/16 08:00 PM	30.6	0.034	0.025	0.094	0.091
07/16/16 12:00 AM	16.3	0.021	0.016	0.096	0.092
07/16/16 04:00 AM	14.3	0.017	0.013	0.096	0.092
07/16/16 08:00 AM	13.6	0.015	0.010	0.095	0.092
07/16/16 12:00 PM	22.8	0.021	0.015	0.094	0.091
07/16/16 04:00 PM	29.1	0.030	0.021	0.093	0.090
07/16/16 08:00 PM	28.9	0.027	0.016	0.094	0.091
07/17/16 12:00 AM	14.1	0.015	0.008	0.097	0.092
